location,year,month,bike_east_north,bike_west_sout,ped_east_north,ped_west_sout
Paseo de las Montanas Trail at Jerry Cline,2017,1,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,1,952,898,2550,1964
North Diversion Channel Trail & Indian School Rd,2017,1,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,1,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,1,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,1,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,1,1319,1363,334,303
North Diversion Channel Trail & Indian School Rd,2017,2,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,2,1745,1673,365,350
Paseo del Bosque Trail & Tingley Beach,2017,2,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,2,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,2,1152,1109,2862,2201
Paseo de las Montanas Trail at Jerry Cline,2017,2,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,2,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,3,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2017,3,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,3,1752,1527,3888,2951
North Diversion Channel Trail & Indian School Rd,2017,3,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,3,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,3,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,3,2461,2523,503,640
North Diversion Channel Trail & Indian School Rd,2017,4,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2017,4,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,4,1688,1423,2837,2458
North Diversion Channel Trail & Journal Center,2017,4,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,4,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,4,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,4,2386,2488,836,630
Paseo de las Montanas Trail at Jerry Cline,2017,5,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,5,2248,1847,3001,2683
Paseo del Norte Trail at Rail Runner Station,2017,5,3074,3157,486,619
Paseo del Bosque Trail & Tingley Beach,2017,5,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,5,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,5,0,0,0,0
North Diversion Channel Trail & Indian School Rd,2017,5,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,6,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,6,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,6,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,6,3046,3102,456,595
Paseo de las Montanas Trail at Jerry Cline,2017,6,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,6,2039,1832,3058,2326
North Diversion Channel Trail & Indian School Rd,2017,6,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2017,7,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,7,2263,1896,3133,1777
North Diversion Channel Trail & Indian School Rd,2017,7,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,7,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,7,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,7,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,7,3287,3270,495,566
North Diversion Channel Trail & Indian School Rd,2017,8,0,0,0,0
North Diversion Channel Trail & Journal Center,2017,8,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,8,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,8,0,0,0,0
Paseo del Norte Trail at Rail Runner Station,2017,8,3240,3334,468,523
Paseo de las Montanas Trail at Jerry Cline,2017,8,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,8,2071,1809,3136,2452
Paseo del Norte Trail at Rail Runner Station,2017,9,2774,2768,492,565
North Diversion Channel Trail & Journal Center,2017,9,0,0,0,0
Paseo del Bosque Trail & Montano Rd,2017,9,0,0,0,0
Paseo del Bosque Trail & Tingley Beach,2017,9,0,0,0,0
Paseo de las Montanas Trail at Jerry Cline,2017,9,0,0,0,0
North Diversion Channel Trail & Indian School Rd,2017,9,0,0,0,0
Paseo del Nordeste Trail at Erna Fergusson,2017,9,1755,1470,2990,2277
North Diversion Channel Trail & Indian School Rd,2017,10,4088,3849,1466,1662
Paseo de las Montanas Trail at Jerry Cline,2017,10,1287,1445,2012,2222
Paseo del Bosque Trail & Montano Rd,2017,10,7806,7643,2671,2892
Paseo del Bosque Trail & Tingley Beach,2017,10,6619,6717,4176,4642
