Location,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
Channel 1 IN,0,0,0,0,0,0,0,0,0,2222,2066,1756,2024,1924,2709,2884,2829,2608,2815,1667,2949,2817,2530,1888,2003,2055,3415,3488,3410,2651,2227,2188,2220,2062,2260,1838,2295,823,3180,6038,6837,4549,3944,3949,3823,3502,3793,2976
Channel 2 OUT,0,0,0,0,0,0,0,0,0,2012,2041,1715,1970,1906,2606,2741,2693,2427,2359,1210,2198,1882,1689,1405,1575,1407,2305,2427,2525,2444,2097,2081,1990,1611,1490,1399,1682,618,2148,4162,4676,3364,3181,3102,2923,2967,2809,2233
Channel 4 OUT,0,0,0,0,0,0,0,0,0,1287,1191,986,963,1004,1335,1671,2067,1985,1709,1090,1853,1263,1130,745,681,785,1224,1478,1516,1835,1846,1874,2359,1383,978,712,759,267,1142,2350,2817,2468,2363,2447,2253,2139,1443,1033
Erna Fergusson Bicycle Eastbound,952,1152,1752,1688,2248,2039,2263,2071,1755,1875,1369,935,851,863,1277,1556,1973,1920,2006,1886,1762,1354,876,622,694,695,1033,1359,1571,1752,1817,1869,1797,1375,896,662,791,867,1494,2312,2759,2096,0,0,4,531,1206,839
Erna Fergusson Bicycle Westbound,898,1109,1527,1423,1847,1832,1896,1809,1470,1615,1338,895,875,925,1174,1450,1851,1797,1722,1630,1612,1320,895,570,626,658,978,1301,1527,1673,1631,1623,1612,1345,781,633,696,806,1462,2188,2500,1676,0,0,4,489,1253,733
Erna Fergusson PED Eastbound,2550,2862,3888,2837,3001,3058,3133,3136,2990,4224,3888,3700,2822,2382,3297,2709,2916,2942,2468,2625,3044,2580,3595,2315,2790,2394,3097,2676,2386,2272,2315,2223,2371,2461,1835,1709,1969,1910,2635,3588,4230,2881,0,0,11,2177,4886,5530
Erna Fergusson PED Westbound,1964,2201,2951,2458,2683,2326,1777,2452,2277,2416,2177,1787,1928,1702,2189,2189,2460,2341,1879,1898,2080,1926,1840,1343,1647,1320,1834,2054,1999,1913,1871,1712,1975,2058,1529,1324,1358,1394,2350,3379,3895,2463,0,0,2,1044,2497,2193
North Diversion Channel-Indian School  Cyclists NORTH,0,0,0,0,0,0,0,0,0,4088,3605,2354,2781,2653,3513,3675,3580,3230,3404,3502,3837,4002,2777,1782,2007,2154,2801,3044,3144,2885,967,0,0,0,0,845,1791,2019,2941,3921,3960,3542,3420,3330,3355,3245,2592,1814
North Diversion Channel-Indian School  Cyclists SOUTH,0,0,0,0,0,0,0,0,0,3849,3436,2166,2507,2416,3203,3930,4938,4718,4907,5419,4994,3795,2655,1700,1950,2071,2755,3184,3451,4093,1502,0,0,0,0,825,1825,1986,2830,3926,4892,4600,4562,4684,3921,3149,2458,1708
North Diversion Channel-Indian School  Pedestrians NORTH,0,0,0,0,0,0,0,0,0,1466,1320,881,1093,1264,1326,1479,966,804,2566,1053,1432,1535,1086,785,1077,958,1307,1318,972,1489,2330,0,0,0,0,662,1038,1081,1435,1739,1474,1060,937,1012,1381,1548,2150,1811
North Diversion Channel-Indian School  Pedestrians SOUTH,0,0,0,0,0,0,0,0,0,1662,1403,973,1217,1335,1376,1614,1326,1200,5334,1802,1860,1611,1190,906,1174,1043,1464,1569,1246,2394,2886,0,0,0,0,888,1193,1191,1644,2166,1912,1632,1750,1457,1702,1584,2176,1946
North Diversion Channel-Journal Central Cyclists IN NORTH,0,0,0,0,0,0,0,0,0,1652,3266,2333,2367,2177,3248,3510,4387,4109,4580,4631,4264,6424,2568,1645,1674,1897,2993,3469,3566,4121,4503,4241,3948,6536,2223,1532,1832,2025,3590,5119,6104,4935,5210,5161,4329,4159,2892,1967
