,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
Rail Runner PdN Trail PED Westbound,298.0,0.0,0.0,278.0,721.0,563.0
Rail Runner PdN Trail PED Eastbound,164.0,0.0,0.0,237.0,580.0,511.0
Rail Runner PdN Trail Bicycle Westbound,648.0,0.0,0.0,845.0,2766.0,2416.0
Rail Runner PdN Trail Bicycle Eastbound,627.0,0.0,0.0,836.0,2554.0,2310.0
Erna Fergusson PED Eastbound,4137.0,4589.0,2546.0,2164.0,3666.0,2844.0
Erna Fergusson PED Westbound,1905.0,2111.0,1174.0,1445.0,2630.0,2233.0
Erna Fergusson Bicycle Eastbound,780.0,926.0,510.0,759.0,1742.0,1769.0
Erna Fergusson Bicycle Westbound,701.0,794.0,494.0,833.0,1757.0,1481.0
Paseo del Bosque-North of Montano Pedestrians South,1884.0,1776.0,2254.0,1927.0,2874.0,2461.0
Paseo del Bosque-North of Montano Pedestrians North,1736.0,1499.0,1922.0,1502.0,2261.0,1906.0
Paseo del Bosque-North of Montano Cyclists South,4939.0,4702.0,6626.0,5279.0,9709.0,8786.0
Paseo del Bosque-North of Montano Cyclists North,4772.0,4684.0,6495.0,5174.0,9403.0,8311.0
Paseo del Bosque-Tingley Beach Pedestrians IN NORTH,2648.0,2487.0,2827.0,0.0,0.0,1044.0
Paseo del Bosque-Tingley Beach Pedestrians OUT SOUTH,2872.0,2653.0,2984.0,0.0,0.0,1000.0
Paseo del Bosque-Tingley Beach Cyclists IN NORTH,4518.0,4445.0,6083.0,0.0,0.0,2613.0
Paseo del Bosque-Tingley Beach Cyclists OUT SOUTH,4531.0,4395.0,5978.0,0.0,0.0,2585.0
North Diversion Channel-Journal Central Pedestrians IN NORTH,535.0,174.0,1288.0,1667.0,1641.0,1391.0
North Diversion Channel-Journal Central Pedestrians OUT SOUTH,455.0,148.0,1091.0,1328.0,1181.0,982.0
North Diversion Channel-Journal Central Cyclists IN NORTH,958.0,375.0,2655.0,3140.0,3886.0,3598.0
North Diversion Channel-Journal Central Cyclists OUT SOUTH,963.0,419.0,2695.0,3132.0,3744.0,3496.0
North Diversion Channel-Indian School  Pedestrians SOUTH,1493.0,2143.0,1694.0,942.0,953.0,855.0
North Diversion Channel-Indian School  Pedestrians NORTH,1432.0,2077.0,1527.0,748.0,630.0,471.0
North Diversion Channel-Indian School  Cyclists SOUTH,1932.0,1697.0,2138.0,889.0,765.0,965.0
North Diversion Channel-Indian School  Cyclists NORTH,2178.0,1859.0,2336.0,792.0,560.0,614.0
Paseo de las Montanas-Jerry Cline Peds WEST,3477.0,2245.0,0.0,0.0,0.0,0.0
Paseo de las Montanas-Jerry Cline Peds EAST,2743.0,1724.0,0.0,0.0,0.0,0.0
Paseo de las Montanas-Jerry Cline Cyclists WEST,481.0,231.0,0.0,0.0,0.0,0.0
Paseo de las Montanas-Jerry Cline Cyclists EAST,1105.0,609.0,0.0,0.0,0.0,0.0
Paseo de las Montanas-South of I-40/Jerry Cline Pedestrian IN WEST,0.0,0.0,0.0,0.0,3127.0,2953.0
Paseo de las Montanas-South of I-40/Jerry Cline Pedestrian OUT EAST,0.0,0.0,0.0,0.0,2862.0,2851.0
Paseo de las Montanas-South of I-40/Jerry Cline Cyclist IN WEST,0.0,0.0,0.0,0.0,1920.0,2213.0
Paseo de las Montanas-South of I-40/Jerry Cline Cyclist OUT EAST,0.0,0.0,0.0,0.0,1794.0,1916.0
