,Location,Date,Value
0,Jerry Cline Park Pedestrians IN West,2017-01,0.0
1,Jerry Cline Park Pedestrians OUT East,2017-01,0.0
2,Jerry Cline Park Bicyclists OUT East,2017-01,0.0
3,Erna Fergusson Library Bicycle Eastbound,2017-01,952.0
4,Erna Fergusson Library Bicycle Westbound,2017-01,898.0
5,Erna Fergusson Library PED Eastbound,2017-01,2550.0
6,Erna Fergusson Library PED Westbound,2017-01,1964.0
7,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-01,0.0
8,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-01,0.0
9,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-01,0.0
10,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-01,0.0
11,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-01,0.0
12,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-01,0.0
13,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-01,0.0
14,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-01,0.0
15,Jerry Cline Park Cyclists IN West,2017-01,0.0
16,Paseo del Bosque & Montano Rd Cyclists North,2017-01,0.0
17,Paseo del Bosque & Montano Rd Cyclists South,2017-01,0.0
18,Paseo del Bosque & Montano Rd Pedestrians North,2017-01,0.0
19,Paseo del Bosque & Montano Rd Pedestrians South,2017-01,0.0
20,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-01,0.0
21,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-01,0.0
22,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-01,0.0
23,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-01,0.0
24,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-01,1319.0
25,Paseo del Norte & Rail Runner Bicycle Westbound,2017-01,1363.0
26,Paseo del Norte & Rail Runner PED Eastbound,2017-01,334.0
27,Paseo del Norte & Rail Runer PED Westbound,2017-01,303.0
28,Jerry Cline Park Pedestrians IN West,2017-02,0.0
29,Jerry Cline Park Pedestrians OUT East,2017-02,0.0
30,Jerry Cline Park Bicyclists OUT East,2017-02,0.0
31,Erna Fergusson Library Bicycle Eastbound,2017-02,1152.0
32,Erna Fergusson Library Bicycle Westbound,2017-02,1109.0
33,Erna Fergusson Library PED Eastbound,2017-02,2862.0
34,Erna Fergusson Library PED Westbound,2017-02,2201.0
35,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-02,0.0
36,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-02,0.0
37,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-02,0.0
38,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-02,0.0
39,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-02,0.0
40,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-02,0.0
41,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-02,0.0
42,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-02,0.0
43,Jerry Cline Park Cyclists IN West,2017-02,0.0
44,Paseo del Bosque & Montano Rd Cyclists North,2017-02,0.0
45,Paseo del Bosque & Montano Rd Cyclists South,2017-02,0.0
46,Paseo del Bosque & Montano Rd Pedestrians North,2017-02,0.0
47,Paseo del Bosque & Montano Rd Pedestrians South,2017-02,0.0
48,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-02,0.0
49,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-02,0.0
50,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-02,0.0
51,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-02,0.0
52,Paseo del Norte & Rail Runner Bicycle Eastbound,2017-02,1745.0
53,Paseo del Norte & Rail Runner Bicycle Westbound,2017-02,1673.0
54,Paseo del Norte & Rail Runner PED Eastbound,2017-02,365.0
55,Paseo del Norte & Rail Runer PED Westbound,2017-02,350.0
56,Jerry Cline Park Pedestrians IN West,2017-03,0.0
57,Jerry Cline Park Pedestrians OUT East,2017-03,0.0
58,Jerry Cline Park Bicyclists OUT East,2017-03,0.0
59,Erna Fergusson Library Bicycle Eastbound,2017-03,1752.0
60,Erna Fergusson Library Bicycle Westbound,2017-03,1527.0
61,Erna Fergusson Library PED Eastbound,2017-03,3888.0
62,Erna Fergusson Library PED Westbound,2017-03,2951.0
63,North Diversion Channel Trail & Indian School Rd Cyclists NORTH,2017-03,0.0
64,North Diversion Channel Trail & Indian School Rd  Cyclists SOUTH,2017-03,0.0
65,North Diversion Channel Trail & Indian School Pedestrians NORTH,2017-03,0.0
66,North Diversion Channel Trail & Indian School Pedestrians SOUTH,2017-03,0.0
67,North Diversion Channel Trail & Journal Center Cyclists IN NORTH,2017-03,0.0
68,North Diversion Channel Trail & Journal Center Cyclists OUT SOUTH,2017-03,0.0
69,North Diversion Channel Trail & Journal Center Pedestrians IN NORTH,2017-03,0.0
70,North Diversion Channel Trail & Journal Center Pedestrians OUT SOUTH,2017-03,0.0
71,Jerry Cline Park Cyclists IN West,2017-03,0.0
72,Paseo del Bosque & Montano Rd Cyclists North,2017-03,0.0
73,Paseo del Bosque & Montano Rd Cyclists South,2017-03,0.0
74,Paseo del Bosque & Montano Rd Pedestrians North,2017-03,0.0
75,Paseo del Bosque & Montano Rd Pedestrians South,2017-03,0.0
76,Paseo del Bosque & Tingley Beach Cyclists IN NORTH,2017-03,0.0
77,Paseo del Bosque & Tingley Beach Cyclists OUT SOUTH,2017-03,0.0
78,Paseo del Bosque & Tingley Beach Pedestrians IN NORTH,2017-03,0.0
79,Paseo del Bosque &Tingley Beach Pedestrians OUT SOUTH,2017-03,0.0
