date,Rail Runner PdN Trail PED Westbound,Rail Runner PdN Trail PED Eastbound,Rail Runner PdN Trail Bicycle Westbound,Rail Runner PdN Trail Bicycle Eastbound,Erna Fergusson PED Eastbound,Erna Fergusson PED Westbound,Erna Fergusson Bicycle Eastbound,Erna Fergusson Bicycle Westbound,Paseo del Bosque-North of Montano Pedestrians South,Paseo del Bosque-North of Montano Pedestrians North,Paseo del Bosque-North of Montano Cyclists South,Paseo del Bosque-North of Montano Cyclists North,Paseo del Bosque-Tingley Beach Pedestrians IN NORTH,Paseo del Bosque-Tingley Beach Pedestrians OUT SOUTH,Paseo del Bosque-Tingley Beach Cyclists IN NORTH,Paseo del Bosque-Tingley Beach Cyclists OUT SOUTH,North Diversion Channel-Journal Central Pedestrians IN NORTH,North Diversion Channel-Journal Central Pedestrians OUT SOUTH,North Diversion Channel-Journal Central Cyclists IN NORTH,North Diversion Channel-Journal Central Cyclists OUT SOUTH,North Diversion Channel-Indian School  Pedestrians SOUTH,North Diversion Channel-Indian School  Pedestrians NORTH,North Diversion Channel-Indian School  Cyclists SOUTH,North Diversion Channel-Indian School  Cyclists NORTH,Channel 1 IN,Channel 2 OUT,Paseo de las Montanas-South of I-40/Jerry Cline Cyclists IN WEST,Channel 4 OUT
2018-01,297.0,291.0,1155.0,1071.0,2822.0,1928.0,851.0,875.0,1727.0,1579.0,4058.0,3946.0,2230.0,2412.0,3726.0,3826.0,1282.0,1248.0,2367.0,2223.0,1217.0,1093.0,2507.0,2781.0,2024.0,1970.0,1166.0,963.0
2018-02,312.0,305.0,1405.0,1341.0,2382.0,1702.0,863.0,925.0,1748.0,1650.0,3822.0,3913.0,2027.0,2151.0,3837.0,3608.0,1197.0,1207.0,2177.0,2145.0,1335.0,1264.0,2416.0,2653.0,1924.0,1906.0,1251.0,1004.0
2018-03,385.0,375.0,2196.0,2055.0,3297.0,2189.0,1277.0,1174.0,2318.0,2009.0,6249.0,6220.0,3165.0,3280.0,6070.0,6022.0,1932.0,1562.0,3248.0,3025.0,1376.0,1326.0,3203.0,3513.0,2709.0,2606.0,1591.0,1335.0
2018-04,438.0,433.0,2370.0,2285.0,2709.0,2189.0,1556.0,1450.0,2708.0,2099.0,7325.0,7280.0,3324.0,3188.0,7437.0,7234.0,2607.0,1659.0,3510.0,3389.0,1614.0,1479.0,3930.0,3675.0,2884.0,2741.0,1933.0,1671.0
2018-05,532.0,498.0,2922.0,2845.0,2916.0,2460.0,1973.0,1851.0,2880.0,2052.0,9191.0,9019.0,3959.0,3273.0,9080.0,8678.0,4209.0,1987.0,4387.0,4132.0,1326.0,966.0,4938.0,3580.0,2829.0,2693.0,2389.0,2067.0
2018-06,441.0,410.0,2792.0,2796.0,2942.0,2341.0,1920.0,1797.0,3593.0,1729.0,7212.0,6843.0,3453.0,2937.0,9905.0,8726.0,7477.0,2114.0,4109.0,4142.0,1200.0,804.0,4718.0,3230.0,2608.0,2427.0,2294.0,1985.0
2018-07,540.0,396.0,2844.0,2914.0,2468.0,1879.0,2006.0,1722.0,0.0,0.0,0.0,0.0,3295.0,3043.0,10339.0,9980.0,5007.0,1531.0,4580.0,4344.0,5334.0,2566.0,4907.0,3404.0,2815.0,2359.0,1891.0,1709.0
2018-08,495.0,487.0,3123.0,3006.0,2625.0,1898.0,1886.0,1630.0,1577.0,1254.0,4908.0,4951.0,3421.0,2908.0,9429.0,9370.0,7056.0,1866.0,4631.0,4529.0,1802.0,1053.0,5419.0,3502.0,1667.0,1210.0,800.0,1090.0
2018-09,472.0,471.0,3025.0,2967.0,3044.0,2080.0,1762.0,1612.0,2989.0,2532.0,9334.0,9168.0,3292.0,3153.0,9203.0,9024.0,1804.0,1465.0,4264.0,4229.0,1860.0,1432.0,4994.0,3837.0,2949.0,2198.0,1438.0,1853.0
2018-10,1778.0,1431.0,2835.0,2742.0,2580.0,1926.0,1354.0,1320.0,3096.0,2611.0,7475.0,7577.0,4199.0,4355.0,6234.0,6244.0,2177.0,2137.0,6424.0,6069.0,1611.0,1535.0,3795.0,4002.0,2817.0,1882.0,639.0,1263.0
2018-11,975.0,382.0,1813.0,1703.0,3595.0,1840.0,876.0,895.0,1837.0,1624.0,4573.0,4577.0,2238.0,2937.0,4341.0,4338.0,1116.0,1145.0,2568.0,2538.0,1190.0,1086.0,2655.0,2777.0,2530.0,1689.0,427.0,1130.0
2018-12,444.0,329.0,1103.0,1046.0,2315.0,1343.0,622.0,570.0,1556.0,1512.0,2649.0,2524.0,1579.0,1741.0,2502.0,2562.0,902.0,874.0,1645.0,1661.0,906.0,785.0,1700.0,1782.0,1888.0,1405.0,366.0,745.0
