date,Rail Runner PdN Trail PED Westbound,Rail Runner PdN Trail PED Eastbound,Rail Runner PdN Trail Bicycle Westbound,Rail Runner PdN Trail Bicycle Eastbound,Erna Fergusson PED Eastbound,Erna Fergusson PED Westbound,Erna Fergusson Bicycle Eastbound,Erna Fergusson Bicycle Westbound,Paseo del Bosque-North of Montano Pedestrians South,Paseo del Bosque-North of Montano Pedestrians North,Paseo del Bosque-North of Montano Cyclists South,Paseo del Bosque-North of Montano Cyclists North,Paseo del Bosque-Tingley Beach Pedestrians OUT SOUTH,Paseo del Bosque-Tingley Beach Cyclists IN NORTH,Paseo del Bosque-Tingley Beach Cyclists OUT SOUTH,North Diversion Channel-Journal Central Pedestrians IN NORTH,North Diversion Channel-Journal Central Pedestrians OUT SOUTH,North Diversion Channel-Journal Central Cyclists IN NORTH,North Diversion Channel-Journal Central Cyclists OUT SOUTH,North Diversion Channel-Indian School  Pedestrians SOUTH,North Diversion Channel-Indian School  Pedestrians NORTH,North Diversion Channel-Indian School  Cyclists SOUTH,North Diversion Channel-Indian School  Cyclists NORTH,Channel 1 IN,Channel 2 OUT,Paseo de las Montanas-South of I-40/Jerry Cline Cyclists IN WEST,Channel 4 OUT
2020-01,703.0,269.0,1082.0,1075.0,1969.0,1358.0,791.0,696.0,1536.0,1446.0,3102.0,3157.0,1406.0,2409.0,1903.0,1166.0,1143.0,1832.0,1859.0,1193.0,1038.0,1825.0,1791.0,2295.0,1682.0,358.0,759.0
2020-02,474.0,343.0,1285.0,1309.0,1910.0,1394.0,867.0,806.0,1813.0,1686.0,4050.0,4038.0,2514.0,3908.0,3945.0,1061.0,1099.0,2025.0,2067.0,1191.0,1081.0,1986.0,2019.0,823.0,618.0,127.0,267.0
2020-03,641.0,545.0,2347.0,2132.0,2635.0,2350.0,1494.0,1462.0,3032.0,2630.0,8112.0,8149.0,3615.0,7919.0,7791.0,1868.0,1513.0,3590.0,3417.0,1644.0,1435.0,2830.0,2941.0,3180.0,2148.0,472.0,1142.0
2020-04,875.0,659.0,3462.0,3391.0,3588.0,3379.0,2312.0,2188.0,3688.0,3084.0,12641.0,12646.0,2851.0,7486.0,7257.0,4280.0,2125.0,5119.0,4987.0,2166.0,1739.0,3926.0,3921.0,6038.0,4162.0,889.0,2350.0
2020-05,870.0,760.0,4309.0,4156.0,4230.0,3895.0,2759.0,2500.0,4214.0,3493.0,17145.0,16848.0,3942.0,15039.0,14377.0,4591.0,2136.0,6104.0,5940.0,1912.0,1474.0,4892.0,3960.0,6837.0,4676.0,1364.0,2817.0
2020-06,717.0,557.0,3432.0,3347.0,2881.0,2463.0,2096.0,1676.0,3433.0,2825.0,13877.0,13465.0,3525.0,13140.0,12295.0,5307.0,1969.0,4935.0,4999.0,1632.0,1060.0,4600.0,3542.0,4549.0,3364.0,2159.0,2468.0
2020-07,646.0,521.0,3573.0,3290.0,0.0,0.0,0.0,0.0,3327.0,2573.0,13649.0,13260.0,3247.0,13199.0,12144.0,3424.0,1475.0,5210.0,4884.0,1750.0,937.0,4562.0,3420.0,3944.0,3181.0,2244.0,2363.0
2020-08,706.0,549.0,3503.0,3364.0,0.0,0.0,0.0,0.0,5345.0,3108.0,13231.0,12906.0,3645.0,13018.0,12745.0,1841.0,1165.0,5161.0,4852.0,1457.0,1012.0,4684.0,3330.0,3949.0,3102.0,2164.0,2447.0
2020-09,610.0,473.0,3053.0,2893.0,11.0,2.0,4.0,4.0,4572.0,2748.0,11550.0,11410.0,3243.0,11397.0,11191.0,1613.0,1369.0,4329.0,4420.0,1702.0,1381.0,3921.0,3355.0,3823.0,2923.0,1864.0,2253.0
2020-10,569.0,473.0,2766.0,2639.0,2177.0,1044.0,531.0,489.0,3436.0,2647.0,10619.0,10425.0,3426.0,10002.0,9800.0,1456.0,1264.0,4159.0,4106.0,1584.0,1548.0,3149.0,3245.0,3502.0,2967.0,2015.0,2139.0
2020-11,623.0,379.0,2101.0,2020.0,4886.0,2497.0,1206.0,1253.0,2472.0,1963.0,7523.0,7544.0,2733.0,7030.0,6767.0,1199.0,1118.0,2892.0,2906.0,2176.0,2150.0,2458.0,2592.0,3793.0,2809.0,633.0,1443.0
2020-12,940.0,368.0,1383.0,1318.0,5530.0,2193.0,839.0,733.0,1787.0,1590.0,4523.0,4313.0,2294.0,4074.0,4092.0,855.0,772.0,1967.0,2045.0,1946.0,1811.0,1708.0,1814.0,2976.0,2233.0,389.0,1033.0
