Worker Origin,Worker Destination,Workers 2018
Total Jobs,Bernalillo,347301
From Bernalillo,Bernalillo,252442
From Sandoval,Bernalillo,35996
From Valencia,Bernalillo,15408
From Torrance,Bernalillo,1536
Other,Bernalillo,41919
Total All Jobs,Sandoval,32221
From Sandoval,Sandoval,15074
From Bernalillo,Sandoval,12779
From Valencia,Sandoval,713
From Torrance,Sandoval,109
Other,Sandoval,3546
Total All Jobs,Valencia,15342
From Valencia,Valencia,8270
From Bernalillo,Valencia,3640
From Sandoval,Valencia,792
From Torrance,Valencia,118
Other,Valencia,2522
Total All Jobs,Torrance,"2,917"
From Torrance,Torrance,956
From Bernalillo,Torrance,729
From Sandoval,Torrance,134
From Valencia,Torrance,107
Other,Torrance,991
