Area,Year,Unemployment Rate,
United States,2010,9.6,
United States,2011,8.9,
United States,2012,8.1,
United States,2013,7.4,
United States,2014,6.2,
United States,2015,5.3,
United States,2016,4.9,
United States,2017,4.4,
United States,2018,3.9,
United States,2019,3.7,
United States,2020,8.1,
New Mexico,2010,8.1,
New Mexico,2011,7.5,
New Mexico,2012,7.1,
New Mexico,2013,6.9,
New Mexico,2014,6.7,
New Mexico,2015,6.5,
New Mexico,2016,6.6,
New Mexico,2017,5.9,
New Mexico,2018,4.9,
New Mexico,2019,4.9,
New Mexico,2020,8.4,
Central New Mexico,2010,8.01,
Central New Mexico,2011,7.51,
Central New Mexico,2012,7.13,
Central New Mexico,2013,6.8,
Central New Mexico,2014,6.51,
Central New Mexico,2015,6.11,
Central New Mexico,2016,6,
Central New Mexico,2017,5.43,
Central New Mexico,2018,4.63,
Central New Mexico,2019,4.59,
Central New Mexico,2020,8.2,
