GeoFips,GeoName,year,per_capita_income,per_capita_income_prev,pct_change_income
35000,New Mexico,1969,3109.0,,
35001,Bernalillo,1969,3500.0,,
35043,Sandoval,1969,2053.0,,
35057,Torrance,1969,2239.0,,
35061,Valencia,1969,2445.0,,
0,United States,1969,3931.0,,
10740,Central New Mexico ,1969,3303.0,,
35000,New Mexico,1970,3420.0,3109.0,10.0
35001,Bernalillo,1970,3934.0,3500.0,12.4
35043,Sandoval,1970,2487.0,2053.0,21.1
35057,Torrance,1970,2647.0,2239.0,18.2
35061,Valencia,1970,2562.0,2445.0,4.8
0,United States,1970,4198.0,3931.0,6.8
10740,Central New Mexico ,1970,3702.0,3303.0,12.1
35000,New Mexico,1971,3677.0,3420.0,7.5
35001,Bernalillo,1971,4263.0,3934.0,8.4
35043,Sandoval,1971,2965.0,2487.0,19.2
35057,Torrance,1971,2965.0,2647.0,12.0
35061,Valencia,1971,2720.0,2562.0,6.2
0,United States,1971,4471.0,4198.0,6.5
10740,Central New Mexico ,1971,4021.0,3702.0,8.6
35000,New Mexico,1972,4039.0,3677.0,9.8
35001,Bernalillo,1972,4764.0,4263.0,11.8
35043,Sandoval,1972,3416.0,2965.0,15.2
35057,Torrance,1972,3580.0,2965.0,20.7
35061,Valencia,1972,3016.0,2720.0,10.9
0,United States,1972,4857.0,4471.0,8.6
10740,Central New Mexico ,1972,4499.0,4021.0,11.9
35000,New Mexico,1973,4421.0,4039.0,9.5
35001,Bernalillo,1973,5081.0,4764.0,6.7
35043,Sandoval,1973,3617.0,3416.0,5.9
35057,Torrance,1973,3743.0,3580.0,4.6
35061,Valencia,1973,3242.0,3016.0,7.5
0,United States,1973,5363.0,4857.0,10.4
10740,Central New Mexico ,1973,4795.0,4499.0,6.6
35000,New Mexico,1974,4858.0,4421.0,9.9
35001,Bernalillo,1974,5502.0,5081.0,8.3
35043,Sandoval,1974,3891.0,3617.0,7.6
35057,Torrance,1974,3777.0,3743.0,0.9
35061,Valencia,1974,3666.0,3242.0,13.1
0,United States,1974,5836.0,5363.0,8.8
10740,Central New Mexico ,1974,5203.0,4795.0,8.5
35000,New Mexico,1975,5391.0,4858.0,11.0
35001,Bernalillo,1975,6084.0,5502.0,10.6
35043,Sandoval,1975,4137.0,3891.0,6.3
35057,Torrance,1975,4404.0,3777.0,16.6
35061,Valencia,1975,4208.0,3666.0,14.8
0,United States,1975,6324.0,5836.0,8.4
10740,Central New Mexico ,1975,5754.0,5203.0,10.6
35000,New Mexico,1976,5846.0,5391.0,8.4
35001,Bernalillo,1976,6664.0,6084.0,9.5
35043,Sandoval,1976,4569.0,4137.0,10.4
35057,Torrance,1976,4567.0,4404.0,3.7
35061,Valencia,1976,4881.0,4208.0,16.0
0,United States,1976,6875.0,6324.0,8.7
10740,Central New Mexico ,1976,6318.0,5754.0,9.8
35000,New Mexico,1977,6382.0,5846.0,9.2
35001,Bernalillo,1977,7175.0,6664.0,7.7
35043,Sandoval,1977,4915.0,4569.0,7.6
35057,Torrance,1977,5073.0,4567.0,11.1
35061,Valencia,1977,5582.0,4881.0,14.4
0,United States,1977,7516.0,6875.0,9.3
10740,Central New Mexico ,1977,6832.0,6318.0,8.1
35000,New Mexico,1978,7148.0,6382.0,12.0
35001,Bernalillo,1978,8123.0,7175.0,13.2
35043,Sandoval,1978,5476.0,4915.0,11.4
35057,Torrance,1978,5822.0,5073.0,14.8
35061,Valencia,1978,6408.0,5582.0,14.8
