TIP_In2020,ID Number,Control Number,Project Title,Lead Agency,Project Type,Year,Funding Category,FedAmount,StateAmount,LocalAmount,TotAmount,Funding Source
TRUE,135,TA00390,Commuter Rail Maint of Eqiup & Way & Transit Oper,Rio Metro NMRRX,Transit,2021,CARES Act Fund,"600,000.00",0.00,0.00,"600,000.00",Federal Sp Prog 3
TRUE,100.5,A300705,AMPA Wide Bicycle Facil. Prog. & Activities,City of Albuquerque-DMD,Bike/Ped,2020,CMAQ-Flex,"150,000.00",0.00,"25,561.79","175,561.79",Federal Hwy
TRUE,100.5999985,A300706,AMPA Wide Bicycle Facil. Prog. & Activities,City of Albuquerque-DMD,Bike/Ped,2021,CMAQ-Flex,"150,000.00",0.00,"25,561.79","175,561.79",Federal Hwy
TRUE,202,A301820,AMPA Wide Joint TDM-Travel Demand,Rio Metro Transit Dist,TDM,2020,CMAQ-Flex,"1,090,000.00",0.00,"185,749.03","1,275,749.03",Federal Hwy
TRUE,202.1000061,A301821,AMPA Wide Joint TDM-Travel Demand,Rio Metro Transit Dist,TDM,2021,CMAQ-Flex,"1,123,000.00",0.00,"191,372.62","1,314,372.62",Federal Hwy
TRUE,219,TA00430,Commuter Rail-NMRRX Operating Assistance FFY 2020,Rio Metro NMRRX,Transit,2020,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.1000061,TA00431,Commuter Rail-NMRRX Operating Assistance FFY 2021,Rio Metro NMRRX,Transit,2021,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.1999969,TA00432,Commuter Rail-NMRRX Operating Assistance FFY 2022,Rio Metro NMRRX,Transit,2022,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,219.3000031,TA00433,Commuter Rail-NMRRX Operating Assistance FFY 2023,Rio Metro NMRRX,Transit,2023,CMAQ-Flex,"1,000,000.00",0.00,"170,411.95","1,170,411.95",Federal Hwy
TRUE,345.3999939,TA00351,Central Ave BRT - Phase IB,City of Albuquerque-ABQ Ride,Transit,2020,CMAQ-Flex,"3,643,326.00",0.00,"620,866.29","4,264,192.29",Federal Hwy
TRUE,345.3999939,TA00351,Central Ave BRT - Phase IB,City of Albuquerque-ABQ Ride,Transit,2021,CMAQ-Flex,"3,610,326.00",0.00,"615,242.70","4,225,568.70",Federal Hwy
TRUE,872.5,A300505,Bridge Blvd Reconstruction Phase 3,County of Bernalillo,Hwy & Brg Pres,2022,CMAQ-Flex,"299,040.00",0.00,"50,959.99","349,999.99",Federal Hwy
